text,Kommentar,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16
Gemütliche Atmung und rustikale Deko an Wänden.,,"Atmung, amb, pos, Gemütliche","Deko an Wänden, amb, pos, rustikale",,,,,,,,,,,,,,
"Zum Servicepersonal, der Küche und dem „Chef im Ring“ bleibt zu sagen: umsichtig, freundlich und gut eingestimmt machten uns die Stunden im Biergarten recht viel Freude!","""viel"" nicht Teil des OT","Servicepersonal, serv, pos, umsichtig","Chef im Ring, serv, pos, umsichtig","Küche, serv, pos, umsichtig","Servicepersonal, serv, pos, freundlich","Chef im Ring, serv, pos, freundlich","Küche, serv, pos, freundlich","Servicepersonal, serv, pos, eingestimmt","Chef im Ring, serv, pos, eingestimmt","Küche, foodq, pos, freundlich","Biergarten, restaurantg, pos, Freude",,,,,,
Der Burger total durchgebraten und trocken.,,"Burger, foodq, neg, durchgebraten","Burger, foodq, neg, trocken",,,,,,,,,,,,,,
"Wie kann ein Betrieb der uns immer gut gefallen hat, so schnell 3 klassig werden.",,"Betrieb, restaurantg, neg, 3 klassig",,,,,,,,,,,,,,,
"Das Ambiente ist charmant, das Essen köstlich und das Personal freundlich.",,"Ambiente, amb, pos, charmant","Essen, foodq, pos, köstlich","Personal, serv, pos, freundlich",,,,,,,,,,,,,
Preislich vollkommen okay Immer wieder gern.,,"NULL, restaurantg, pos, Immer wieder gern","NULL, restaurantp, neu, okay",,,,,,,,,,,,,,
Der Kellner läuft planlos durch die Gegend und wirkt überfordert.,,"Kellner, serv, neg, planlos","Kellner, serv, neg, überfordert",,,,,,,,,,,,,,
Mein Besuch mit einer Gruppe von 16 Personen war sehr angenehm.,,"NULL, restaurantg, pos, angenehm",,,,,,,,,,,,,,,
Das Personal war wirklich sehr nett.,,"Personal, serv, pos, nett",,,,,,,,,,,,,,,
"Für das Essen 5 von 5 Sternen- war lecker und reichlich, Preislich etwas angehoben.",,"Essen, foodq, pos, 5 von 5 Sternen","NULL, restaurantp, neg, angehoben","Essen, foodq, pos, lecker","Essen, foods, pos, reichlich",,,,,,,,,,,,
"Ebenso schwammen die Bratkartoffeln im Fett, von Speck nur ein Hauch erfahrbar.",,"Bratkartoffeln, foodq, neg, schwammen die Bratkartoffeln im Fett","Speck, foodq, neg, nur ein Hauch erfahrbar",,,,,,,,,,,,,,
Der Wein eher gewöhnungsbedürftig!,,"Wein, drinkq, neg, gewöhnungsbedürftig",,,,,,,,,,,,,,,
7/10 fürs Essen.,,"Essen, foodq, pos, 7/10",,,,,,,,,,,,,,,
Im Vergleich zum Personal im Schlüssel und LOC bleibt das Uerige aber doch zurück.,,"Uerige, restaurantg, neg, bleibt das Uerige aber doch zurück",,,,,,,,,,,,,,,
Immer gerne wieder!,,"NULL, restaurantg, pos, gerne wieder",,,,,,,,,,,,,,,
Bei den Preisen kann man mehr erwarten.,"Preis/Preisen nicht als aspect term, NULL verwenden. So ist es auch bei Rest16","NULL, restaurantp, neg, kann man mehr erwarten",,,,,,,,,,,,,,,
Es gab absolut nichts zu beanstanden und wir haben uns rundum wohl gefühlt.,,"NULL, restaurantg, pos, nichts zu beanstanden","NULL, restaurantg, pos, rundum wohl gefühlt",,,,,,,,,,,,,,
Vorspeise war zwar sehr lecker und kam nach ca.,,"Vorspeise, foodq, pos, lecker",,,,,,,,,,,,,,,
Solide und gute Schwäbische Küche und freundliches und aufmerksames Personal.,,"Küche, foodq, pos, Solide","Küche, foodq, pos, gut","Personal, serv, pos, freundliches","Personal, serv, pos, aufmerksames",,,,,,,,,,,,
"Außerdem sind die Pizzen wirklich groß und es gibt nur die eine Größe, sodass man für die einfachste Pizza schon 9 Euro zahlt.",,"Pizza, foodp, neg, 9 Euro","NULL, foods, neg, nur die eine Größe",,,,,,,,,,,,,,
Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an!!,,"Kellner, serv, neg, überfordert",,,,,,,,,,,,,,,
Unterirdisch.,,"NULL, restaurantg, neg, Unterirdisch",,,,,,,,,,,,,,,
Speise- und Getränkekarten waren heute Mangelware.,,"Speise- und Getränkekarten, serv, neg, Mangelware",,,,,,,,,,,,,,,
"Sehr freundlich, auch zu unserem Hund.",,"freundlich, serv, pos, freundlich",,,,,,,,,,,,,,,
Was ganz besonderes in LOC.,,"NULL, restaurantg, pos, besonderes",,,,,,,,,,,,,,,
"Das Trinkgeld steht aber mit auf dem Kassenbon...Auf alle Faelle sind die Preise ein echter Hammer - 4,20 EUR fuer einen Tee ist schon dekadent","Preis/Preisen nicht als aspect term, NULL verwenden. So ist es auch bei Rest16","NULL, restaurantp, neg, ein echter Hammer","Tee, drinkp, neg, 4,20 EUR",,,,,,,,,,,,,,
"Beilagensalat klein, kaum Dressung und lieblos.",,"Beilagensalat, foods, neg, klein","Dressung, foodq, neg, lieblos",,,,,,,,,,,,,,
